diputado_id,Diputado,Provincia,Partido,OrientaciÃ³n,VOTO,EDAD,camara,año,RANGO_DE_EDAD,Genero
397,"Uñac,  José Rubén.",SAN JUAN,NA,Kirchnerismo/PJ,NEGATIVO,56,senadorxs,2020,56-65,Masculino
398,"Vega., María Del Valle",LA RIOJA,NA,Cambiemos,AUSENTE,52,senadorxs,2020,46-55,Femenino
399,"Verasay., Pamela Fernanda",MENDOZA,NA,Cambiemos,AFIRMATIVO,40,senadorxs,2020,36-45,Femenino
400,"Weretilneck,  Alberto",NA,NA,Otros,AFIRMATIVO,58,senadorxs,2020,56-65,Masculino
401,"Zimmermann,  Víctor",NA,NA,Cambiemos,NEGATIVO,58,senadorxs,2020,56-65,Masculino
402,"ABDALA DE MATARAZZO, Norma Amanda,",SANTIAGO DEL ESTERO,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,72,diputadxs,2020,66-75,Femenino
403,"AGUIRRE, Hilda Clelia,",LA RIOJA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,60,diputadxs,2020,56-65,Femenino
404,"AICEGA, Juan,",BUENOS AIRES,PRO,Cambiemos,NEGATIVO,57,diputadxs,2020,56-65,Masculino
405,"ALDERETE, Juan Carlos,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,68,diputadxs,2020,66-75,Masculino
406,"ALLENDE, Walberto Enrique,",SAN JUAN,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,65,diputadxs,2020,56-65,Masculino
407,"ALUME SBODIO, Karim Augusto,",SAN LUIS,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,39,diputadxs,2020,36-45,Masculino
408,"ÁLVAREZ RODRIGUEZ, María Cristina,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,51,diputadxs,2020,46-55,Femenino
409,"ÁLVAREZ, Felipe,",LA RIOJA,Accia³n Federal,Cambiemos,NEGATIVO,40,diputadxs,2020,36-45,Masculino
410,"AMAYA, Domingo,",TUCUMaN,PRO,Cambiemos,NEGATIVO,62,diputadxs,2020,56-65,Masculino
411,"ANGELINI, Federico,",SANTA FE,PRO,Cambiemos,NEGATIVO,43,diputadxs,2020,36-45,Masculino
412,"ANSALONI, Pablo Miguel,",BUENOS AIRES,Unidad y Equidad Federal,Otros,NEGATIVO,49,diputadxs,2020,46-55,Masculino
413,"APARICIO, Alicia Noemi,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,66,diputadxs,2020,66-75,Femenino
414,"ARCE, Mario Horacio,",FORMOSA,UNIa“N CaVICA RADICAL,Cambiemos,NEGATIVO,45,diputadxs,2020,36-45,Masculino
415,"ASCARATE, Lidia,",TUCUMaN,UNIa“N CaVICA RADICAL,Cambiemos,NEGATIVO,69,diputadxs,2020,66-75,Femenino
416,"ASSEFF, Alberto Emilio,",BUENOS AIRES,PRO,Cambiemos,NEGATIVO,78,diputadxs,2020,76-85,Masculino
417,"AUSTIN, Brenda Lis,",Ca“RDOBA,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,39,diputadxs,2020,36-45,Masculino
418,"ÁVILA, Beatriz Luisa,",TUCUMaN,PARTIDO POR LA JUSTICIA SOCIAL,Otros,NEGATIVO,54,diputadxs,2020,46-55,Femenino
419,"AYALA, Aida Beatriz Máxima,",CHACO,UNIa“N CaVICA RADICAL,Cambiemos,NEGATIVO,67,diputadxs,2020,66-75,Femenino
420,"BALDASSI, Héctor Walter,",MISIONES,FRENTE DE TODOS,Kirchnerismo/PJ,ABSTENCION,54,diputadxs,2020,46-55,Masculino
421,"BANFI, Karina Verónica,",Ca“RDOBA,PRO,Cambiemos,NEGATIVO,48,diputadxs,2020,46-55,Femenino
422,"BÁRBARO, Hector Orlando,",BUENOS AIRES,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,57,diputadxs,2020,56-65,Masculino
423,"BAZZE, Miguel Ángel,",BUENOS AIRES,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,65,diputadxs,2020,56-65,Masculino
424,"BENEDETTI, Atilio Francisco Salvador,",ENTRE RaOS,UNIa“N CaVICA RADICAL,Cambiemos,AFIRMATIVO,65,diputadxs,2020,56-65,Masculino
425,"BERHONGARAY, Martin Antonio,",LA PAMPA,UNIa“N CaVICA RADICAL,Cambiemos,NEGATIVO,42,diputadxs,2020,36-45,Masculino
426,"BERISSO, Hernán,",BUENOS AIRES,PRO,Cambiemos,NEGATIVO,50,diputadxs,2020,46-55,Masculino
427,"BERMEJO, Alejandro Daniel,",MENDOZA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,57,diputadxs,2020,56-65,Masculino
428,"BERNAZZA, Claudia Alicia,",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,60,diputadxs,2020,56-65,Femenino
429,"BERTONE, Rosana Andrea,",TIERRA DEL FUEGO,FRENTE DE TODOS,Kirchnerismo/PJ,NEGATIVO,48,diputadxs,2020,46-55,Femenino
