diputado_id,Diputado,Provincia,Partido,Orientación,Voto,ley_id,Nombre Ley,Fecha,Acta votación,Texto Ley
920,"Crexell., Carmen Lucila",NEUQUÉN,,Otros,ABSTENCION,1737,Legalización del aborto,09/08/2018,,
440,"Perotti.,  Omar Ángel",SANTA FE,,PJ ,ABSTENCION,1737,Legalización del aborto,09/08/2018,,
945,"Verasay., Pamela Fernanda",MENDOZA,,Cambiemos,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
947,"Luenzo., Alfredo Héctor",CHUBUT,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
898,"Sacnun., Ángeles",SANTA FE,,Kirchnerismo y aliados,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
908,"Kunath., Sigrid Elisabeth",ENTRE RÍOS,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
290,"Ianni,  Ana María",SANTA CRUZ,,Kirchnerismo y aliados,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
907,"Guastavino., Pedro Guillermo Ángel",ENTRE RÍOS,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
270,"Gonzalez.,  Nancy Susana",CHUBUT,,Kirchnerismo y aliados,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
266,"González,  Gladys Esther",BUENOS AIRES,,Cambiemos,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
946,"Lovera., Daniel Aníbal	",LA PAMPA,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
362,"Martínez.,  Ernesto Félix",CÓRDOBA,,Cambiemos,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
381,"Mirkin.,  Beatriz Graciela",TUCUMÁN,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
932,"Odarda., María Magdalena",RIO NEGRO,,Otros,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
526,"Solanas.,  Fernando Ezequiel",CDAD. AUT. BS. AS.,,Otros,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
1323,"Schiavoni,  Humberto",MISIONES,Cambiemos,Cambiemos,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
949,"Rodríguez Machado., Laura Elena",CÓRDOBA,,Cambiemos,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
446,"Pilatti Vergara.,  María Inés",CHACO,,Kirchnerismo y aliados,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
936,"Pichetto., Miguel Ángel	",RIO NEGRO,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
935,"Petcoff Naidenoff., Luis Carlos",FORMOSA,,Cambiemos,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
933,"Pereyra., Guillermo Juan",NEUQUÉN,,Otros,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
421,"Pais.,  Juan Mario",CHUBUT,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
902,"Ojeda., José Anatolio",TIERRA DEL FUEGO,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
905,"Fuentes., Marcelo Jorge",NEUQUÉN,,Kirchnerismo y aliados,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
156,"Costa,  Eduardo Raúl",SANTA CRUZ,,Cambiemos,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
900,"Aguilar., Eduardo Alberto",CHACO,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
125,"Caserio.,  Carlos Alberto",CÓRDOBA,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
129,"Catalan Magni.,  Julio César",TIERRA DEL FUEGO,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
910,"Durango., Norma",LA PAMPA,,PJ ,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
942,"Castillo., Oscar Aníbal",CATAMARCA,,Cambiemos,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
894,"Almirón., Ana Claudia",CORRIENTES,,Kirchnerismo y aliados,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
1316,"Fernández De Kirchner,  Cristina",BUENOS AIRES,,Kirchnerismo y aliados,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
211,"Fernández Sagasti.,  Anabel",MENDOZA,,Kirchnerismo y aliados,AFIRMATIVO,1737,Legalización del aborto,09/08/2018,,
1314,"Catalfamo,  Eugenia",SAN LUIS,Frente Unidad Justicialista San Luis,Otros,AUSENTE,1737,Legalización del aborto,09/08/2018,,
