diputado_id,Diputado,Provincia,Partido,Orientación,Voto,ley_id,Nombre Ley,Fecha,Acta votación,Texto Ley
669,"Massa,  Sergio",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
866,"Patiño., José Luis",CDAD. AUT. BS. AS.,PRO,Cambiemos,ABSTENCION,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
153,"Cornejo,  Alfredo Victor",MENDOZA,UNIÓN CÍVICA RADICAL,Cambiemos,ABSTENCION,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1354,"Bárbaro,  Hector Orlando",MISIONES,FRENTE DE TODOS,Kirchnerismo/PJ,ABSTENCION,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1436,"Uhrig,  Romina Maricel",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,ABSTENCION,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1445,"Zuvic,  Mariana",C.A.B.A.,COALICIÓN CÍVICA,Cambiemos,ABSTENCION,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1379,"Ferreyra,  Daniel Julio",JUJUY,FRENTE DE TODOS,Kirchnerismo/PJ,ABSTENCION,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1419,"Ponce,  Carlos Ybrhain",SAN LUIS,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1376,"Fernandez,  Eduardo Gabriel",CÓRDOBA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1389,"Hagman,  Itai",C.A.B.A.,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1311,"Yedlin,  Pablo Raúl",TUCUMÁN,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1399,"Leito,  Mario",TUCUMÁN,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1241,"Del Cerro,  Gonzalo Pedro Antonio",SANTA FE,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1275,"Morales,  Flavia",MISIONES,FRENTE DE LA CONCORDIA MISIONERO,Otros,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1372,"Di Giacomo,  Luis",RIO NEGRO,Juntos Somos Río Negro,Otros,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1268,"Matzen,  Lorena",RIO NEGRO,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1356,"Bermejo,  Alejandro Daniel",MENDOZA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1435,"Uceda,  Marisa Lourdes",MENDOZA,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1391,"Hernández,  Estela Beatriz",CHUBUT,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1293,"Russo,  Laura",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
807,"Ruiz Aragón., José",CORRIENTES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1265,"Macha,  Mónica",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1440,"Vilar,  Daniela",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1358,"Cacace,  Alejandro",SAN LUIS,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1368,"Crescimbeni,  Camila",BUENOS AIRES,PRO,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1396,"Lampreabe,  Florencia",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1380,"Frade,  Monica",BUENOS AIRES,COALICIÓN CÍVICA,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1433,"Stilman,  Mariana",BUENOS AIRES,COALICIÓN CÍVICA,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1385,"González,  Pablo Gerardo",SANTA CRUZ,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1306,"Vázquez,  Juan Benedicto",SANTA CRUZ,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1352,"Aparicio,  Alicia Noemi",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
513,"Sarghini,  Jorge Emilio",BUENOS AIRES,CONSENSO FEDERAL,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1374,"Estevez,  Enrique Eloy",SANTA FE,Socialista,Consenso Federal / PJ no K,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1381,"Frigerio,  Federico",TIERRA DEL FUEGO,PRO,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1300,"Sierra,  Magdalena",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1420,"Rey,  Maria Lujan",BUENOS AIRES,PRO,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1439,"Vessvessian,  Marcela Paola",SANTA CRUZ,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1409,"Martínez,  Maria Rosa",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1414,"Ormachea,  Claudia",BUENOS AIRES,FRENTE DE TODOS,Kirchnerismo/PJ,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
1260,"Lacoste,  Jorge Enrique",ENTRE RÍOS,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
609,"Riccardo,  José Luis",SAN LUIS,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
71,"Benedetti,  Atilio Francisco Salvador",ENTRE RÍOS,UNIÓN CÍVICA RADICAL,Cambiemos,AFIRMATIVO,2180,Legalización del aborto,11/12/2020,https://votaciones.hcdn.gob.ar/votacion/4077,
